4676,125,75.37
4760,125,75.37
4760,125,75.77
4760,125,75.77
4760,125,77.94
4760,125,81.65
4760,125,81.65
4760,125,86.60
4760,125,90.69
4760,125,90.69
4760,125,94.00
4760,125,97.03
4760,125,97.03
4760,125,99.60
4760,125,101.75
4844,125,103.65
4848,125,105.46
4844,125,105.46
4844,125,107.16
4844,125,108.72
4848,125,110.16
4844,125,111.38
4844,125,111.38
4844,125,112.51
4848,125,113.46
4844,125,114.26
4844,125,114.94
4844,125,115.61
4848,125,115.61
4844,125,116.25
4844,125,116.93
4844,125,117.48
4844,125,117.84
4848,125,118.29
4844,125,118.74
4844,125,118.74
4848,125,119.19
4844,125,119.45
4844,125,119.82
4844,125,120.13
4848,125,120.48
4844,125,120.71
4844,125,120.98
4844,125,120.98
4852,125,121.21
4840,125,121.30
4844,125,121.54
4844,125,121.65
4848,125,121.80
4844,125,121.83
4844,125,121.92
4844,125,121.98
4848,125,121.98
4844,125,122.04
4844,125,122.10
4844,125,122.19
4848,125,122.22
4844,125,122.28
4844,125,122.31
4844,125,122.37
4848,125,122.43
4844,125,122.43
4844,125,122.43
4844,125,122.49
4848,125,122.52
4844,125,122.61
4844,125,122.67
4844,125,122.70
4848,125,122.73
4844,125,122.73
4844,125,122.73
4844,125,122.76
4848,125,122.79
4844,125,122.79
4844,125,122.82
4844,125,122.79
4848,125,122.76
4844,125,122.76
4844,125,122.76
4844,125,122.76
4848,125,122.82
4844,125,122.76
4844,125,122.76
4844,125,122.79
4848,125,122.79
4844,125,122.82
4844,125,122.79
4844,125,122.85
4848,125,122.85
4844,125,122.85
4844,125,122.88
4844,125,122.88
4848,125,122.88
4844,125,122.94
4844,125,122.91
4844,125,122.94
4848,125,122.88
4844,125,122.91
4844,125,122.91
4844,125,122.94
4844,125,122.94
4848,125,122.97
4844,125,123.03
4844,125,123.12
4848,125,123.21
4844,125,123.30
4844,125,123.37
4844,125,123.37
4848,125,123.43
4844,125,123.49
4844,125,123.55
4852,125,123.55
4840,125,123.61
4844,125,123.58
4844,125,123.61
4844,125,123.61
4848,125,123.61
4844,125,123.61
4844,125,123.61
4844,125,123.64
4848,125,123.70
4844,125,123.89
4844,125,123.98
4844,125,124.01
4848,125,124.04
4844,125,123.98
4844,125,124.01
4844,125,124.01
4848,125,123.98
4844,125,123.95
4844,125,123.85
4844,125,123.82
4848,125,123.85
4844,125,123.95
4844,125,123.95
4844,125,123.95
4848,125,123.92
4844,125,123.92
4844,125,123.95
4844,125,123.89
4848,125,123.92
4844,125,123.76
4844,125,123.70
4844,125,123.64
4848,125,123.64
4844,125,123.67
4844,125,123.64
4844,125,123.64
4848,125,123.70
4844,125,123.79
4844,125,123.89
4844,125,123.85
4848,125,123.89
